team_country,n,iso3c
Belgium,2,BEL
Benin,1,BEN
Bosnia Herzegovina,1,BIH
Canada,2,CAN
China,6,CHN
Cyprus,1,CYP
Denmark,3,DNK
Egypt,2,EGY
Finland,1,FIN
France,10,FRA
Germany,12,DEU
India,5,IND
Indonesia,2,IDN
Iran,1,IRN
Ireland,2,IRL
Italy,1,ITA
Japan,2,JPN
Kenya,1,KEN
Korea South,2,KOR
Morocco,3,MAR
Netherlands,4,NLD
Norway,1,NOR
Poland,4,POL
Romania,1,ROU
Spain,7,ESP
Sweden,1,SWE
Switzerland,2,CHE
Tunisia,1,TUN
Turkey,2,TUR
United Arab Emirates,1,ARE
United Kingdom,4,GBR
United States,18,USA
Vietnam,1,VNM
