team_country,n,iso3c
Bangladesh,1,BGD
Belgium,3,BEL
Benin,1,BEN
Bosnia Herzegovina,1,BIH
Brazil,1,BRA
Canada,2,CAN
China,6,CHN
Cyprus,1,CYP
Denmark,3,DNK
Egypt,2,EGY
Finland,1,FIN
France,11,FRA
Germany,12,DEU
Ghana,1,GHA
India,9,IND
Indonesia,3,IDN
Iran,1,IRN
Ireland,2,IRL
Italy,1,ITA
Japan,2,JPN
Kenya,1,KEN
Korea South,2,KOR
Morocco,4,MAR
Netherlands,4,NLD
Norway,1,NOR
Poland,4,POL
Romania,1,ROU
Singapore,1,SGP
Slovenia,1,SVN
Spain,8,ESP
Sweden,1,SWE
Switzerland,2,CHE
Tanzania,1,TZA
Tunisia,1,TUN
Turkey,2,TUR
United Arab Emirates,1,ARE
United Kingdom,4,GBR
United States,20,USA
Vietnam,1,VNM
